Row_Label,Estimate,SE,P_Value
alpha[1],-0.4542490822239576,0.0803210640997132,1.5546867571103462e-8
beta[1],0.7283125231545857,0.32830317770956224,0.02652658474807379
lambda,0.04607095434804549,0.0029998508339025283,0.0
"sigma[1,1]",0.029839326702371844,0.003348759384289698,0.0
"sigma[2,1]",0.2985842985842986,0.011619402678742619,0.0
"sigma[3,1]",0.5665024630541872,0.014211512290998785,0.0
"sigma[4,1]",0.655688622754491,0.026093752801527058,0.0
"sigma[5,1]",0.7702702702702703,0.0501535618048998,0.0
