Row_Label,Estimate,SE,P_Value
alpha[1],-0.6134125781397048,0.09434060304217179,7.920331057675867e-11
alpha[2],0.018259293816504304,0.10781508236576245,0.865515443315185
alpha[3],0.5509205035417092,0.13069153795732458,2.493071625897514e-5
alpha[4],0.024994983533276508,0.10898155442008468,0.8185964380066433
alpha[5],0.6978255335326751,0.1355164792087078,2.613521463690205e-7
alpha[6],0.5012226600794544,0.13155501830277297,0.0001389751649956139
alpha[7],1.5483029365490188,0.20046139215075578,1.1324274851176597e-14
alpha[8],0.38196173014944335,0.12646706532726673,0.0025256891348024446
beta[1],1.5449916048506906,0.3872163258637915,6.607439982131424e-5
beta[2],0.5879459341686875,0.43739148153598295,0.17888054003652787
beta[3],1.372758314286663,0.5855409249227608,0.019056309102168267
beta[4],0.9799192998352972,0.4405692993676914,0.026134218047232594
beta[5],1.4095833168833376,0.6054763732020161,0.019909094026800966
beta[6],-0.2073134760470478,0.4670327674183398,0.657118552689075
beta[7],0.4040204203483868,0.7462519444343882,0.5882322602978913
beta[8],-0.6646049087899256,0.4512244805602569,0.14078017081087468
lambda,0.06541601875061297,0.0020089599906727876,0.0
"sigma[1,1]",0.1003921568627451,0.004865439049286063,0.0
"sigma[2,1]",0.14153490165831084,0.006855061307665107,0.0
"sigma[3,1]",0.08328855454056959,0.006425537366048357,0.0
"sigma[4,1]",0.07670850767085077,0.010027998855407602,2.020605904817785e-14
"sigma[5,1]",0.022304832713754646,0.009845636524277102,0.023484858284339216
"sigma[1,2]",0.029019607843137254,0.002726196376020399,0.0
"sigma[2,2]",0.07211723871962977,0.00509327863543561,0.0
"sigma[3,2]",0.039763567974207416,0.004559676240367213,0.0
"sigma[4,2]",0.023709902370990237,0.005853293564368375,5.106590518000331e-5
"sigma[5,2]",0.011152416356877323,0.007822174661029992,0.15394233319502337
"sigma[1,3]",0.04758169934640523,0.003451284495607306,0.0
"sigma[2,3]",0.11916698804473583,0.0063728618492546315,0.0
"sigma[3,3]",0.11499193981730252,0.007412354575420312,0.0
"sigma[4,3]",0.07810320781032078,0.010109530667095128,1.1102230246251565e-14
"sigma[5,3]",0.022304832713754646,0.0098456365242771,0.023484858284338994
"sigma[1,4]",0.01045751633986928,0.0016655599511159265,3.414617477659476e-10
"sigma[2,4]",0.054377169301966836,0.004468544510896808,0.0
"sigma[3,4]",0.05857066093498119,0.00546768038882128,0.0
"sigma[4,4]",0.0502092050209205,0.008267696625874458,1.2559133732992223e-9
"sigma[5,4]",0.03717472118959108,0.012142636565877057,0.002202286084604488
"sigma[1,5]",0.01045751633986928,0.0016655599511159213,3.414617477659476e-10
"sigma[2,5]",0.0929425376012341,0.005713619188322555,0.0
"sigma[3,5]",0.10263299301450833,0.0070531898691999296,0.0
"sigma[4,5]",0.14644351464435146,0.01327048849390757,0.0
"sigma[5,5]",0.02973977695167286,0.011055102166738235,0.007142196366151321
"sigma[1,6]",0.0036601307189542483,0.0010131397748263079,0.00030307062108270166
"sigma[2,6]",0.029695333590435788,0.0033548370787426333,0.0
"sigma[3,6]",0.03170338527673294,0.004095513054752691,9.769962616701378e-15
"sigma[4,6]",0.08507670850767085,0.010503895594318791,4.440892098500626e-16
"sigma[5,6]",0.048327137546468404,0.01359463179731643,0.00037816720014727245
"sigma[1,7]",0.008366013071895426,0.0014960938154584807,2.2459292425835997e-8
"sigma[2,7]",0.05553413035094485,0.00451274204380491,0.0
"sigma[3,7]",0.09940891993551854,0.006954514869136134,0.0
"sigma[4,7]",0.1297071129707113,0.012617242130646692,0.0
"sigma[5,7]",0.16356877323420074,0.02284560969038932,8.08242361927114e-13
"sigma[1,8]",0.012549019607843137,0.0018187235154231598,5.203837361023034e-12
"sigma[2,8]",0.08600077130736598,0.00551795440343447,0.0
"sigma[3,8]",0.2729715206878023,0.010342468454346934,0.0
"sigma[4,8]",0.28730822873082285,0.01696703999669196,0.0
"sigma[5,8]",0.6171003717472119,0.03046591781038894,0.0
