Row_Label,Estimate,SE,P_Value
alpha[1],-0.5482988538968065,0.11345153046453511,1.345646309935944e-6
alpha[2],1.3827396032562447,0.2228305740216593,5.45785638905727e-10
alpha[3],0.03602779635992541,0.12802332747828682,0.778391445602787
alpha[4],1.057025080033521,0.18800645939160945,1.88452768945524e-8
alpha[5],0.06726236256900055,0.13116337845813691,0.6080817247108783
alpha[6],0.6804403566063525,0.16009104182958384,2.134522286545426e-5
alpha[7],1.980807265362462,0.29947412186853895,3.7335023961304614e-11
alpha[8],0.6916287096076753,0.16597024531629048,3.08384277192264e-5
alpha[9],2.2420093304440156,0.34044422650137357,4.532330066808754e-11
alpha[10],0.37781384390778383,0.15104327964256475,0.012371682385985627
alpha[11],2.345176518183325,0.3545233486021885,3.7151837162241463e-11
beta[1],0.9094404180479543,0.48515124166942414,0.06085461246669266
beta[2],0.16590597592973708,0.9434995017589919,0.8604187914632524
beta[3],0.5275084874012139,0.5772361605951866,0.3607945568909383
beta[4],0.7462234511500366,0.8529857474652938,0.3816626282472204
beta[5],0.01961319485340686,0.537453716197127,0.9708894139000901
beta[6],1.0225099833946751,0.7809374628704915,0.19042036530351725
beta[7],-0.8819671959770986,1.0846301360496942,0.41613195620944077
beta[8],-0.8549992191980452,0.5988812891385935,0.15338957254864427
beta[9],-1.2722536966321325,1.2051253330813805,0.29110420405415605
beta[10],-1.1059953887830303,0.5647045086089528,0.050166885507269
beta[11],-0.6381642039074796,1.4050730600848302,0.6496951169321701
lambda,0.06999186798243896,0.002712961594718849,0.0
"sigma[1,1]",0.040290620871862616,0.0035879258798514444,0.0
"sigma[2,1]",0.030612244897959183,0.004026917241957269,2.90878432451791e-14
"sigma[3,1]",0.01325301204819277,0.004160780396841131,0.0014464266628537725
"sigma[4,1]",0.008928571428571428,0.10006305214789663,0.9288995584629864
"sigma[1,2]",0.07232496697490093,0.004717913350289518,0.0
"sigma[2,2]",0.08324382384532761,0.006422722774610779,0.0
"sigma[3,2]",0.05903614457831325,0.008264427605409118,9.103828801926284e-13
"sigma[4,2]",0.044642857142857144,0.02232142857142858,0.04550026389635842
"sigma[1,3]",0.01915455746367239,0.0025123391223537514,2.4646951146678475e-14
"sigma[2,3]",0.04618689581095596,0.004891997160415695,0.0
"sigma[3,3]",0.02289156626506024,0.005331017085028897,1.7545593617107613e-5
"sigma[4,3]",0.017857142857142856,0.017857142857142863,0.31731050786291437
"sigma[1,4]",0.04788639365918098,0.003893538626132481,0.0
"sigma[2,4]",0.11224489795918367,0.007333787747279426,0.0
"sigma[3,4]",0.10240963855421686,0.010588364475719224,0.0
"sigma[4,4]",0.044642857142857144,0.02232142857142858,0.04550026389635842
"sigma[1,5]",0.022457067371202115,0.002712250788992757,2.220446049250313e-16
"sigma[2,5]",0.03759398496240601,0.004439211275884452,0.0
"sigma[3,5]",0.03614457831325301,0.006587158970561706,4.085232685469009e-8
"sigma[4,5]",0.026785714285714284,0.018940360210353956,0.15729920705028522
"sigma[1,6]",0.007926023778071334,0.0016458697369101886,1.4668079495461228e-6
"sigma[2,6]",0.01933404940923738,0.0032356054146511714,2.2952071354609416e-9
"sigma[3,6]",0.01325301204819277,0.004160780396841129,0.0014464266628537725
"sigma[4,6]",0.03571428571428571,0.020619652471058073,0.08326451666355061
"sigma[1,7]",0.013210039630118891,0.00210097966665933,3.2249047876575787e-10
"sigma[2,7]",0.09237379162191192,0.006730062047125922,0.0
"sigma[3,7]",0.1108433734939759,0.01095971794478197,0.0
"sigma[4,7]",0.044642857142857144,0.02232142857142858,0.04550026389635842
"sigma[1,8]",0.00297225891677675,0.001049101042413618,0.004609198573674256
"sigma[2,8]",0.02953813104189044,0.003959101109864624,8.593126210598712e-14
"sigma[3,8]",0.03493975903614458,0.006484281280800704,7.109637212288078e-8
"sigma[4,8]",0.026785714285714284,0.01894036021035395,0.157299207050285
"sigma[1,9]",0.008256274768824307,0.0016780721514163316,8.650211960059551e-7
"sigma[2,9]",0.09129967776584318,0.006694981521576814,0.0
"sigma[3,9]",0.08674698795180723,0.00983898483823641,0.0
"sigma[4,9]",0.13392857142857142,0.03579391632755683,0.00018281063298175582
"sigma[1,10]",0.002642007926023778,0.000997082597644043,0.00805541462352366
"sigma[2,10]",0.01987110633727175,0.0032780789604734007,1.3459444669905452e-9
"sigma[3,10]",0.0036144578313253013,0.002548976120057496,0.15618965454441858
"sigma[4,10]",0.03571428571428571,0.020619652471058073,0.08326451666355061
"sigma[1,11]",0.012549537648612946,0.002049847439484779,9.230292086215286e-10
"sigma[2,11]",0.16219119226638024,0.008559534580094806,0.0
"sigma[3,11]",0.3855421686746988,0.01698557374416025,0.0
"sigma[4,11]",0.4732142857142857,0.06562301428557404,5.551115123125783e-13
