Row_Label,Estimate,SE,P_Value
alpha[1],-0.43603759027610967,0.09035296616885635,1.3934757914224605e-6
alpha[2],-0.003372673990533841,0.09858248768085301,0.9727083408233874
beta[1],1.0140505658129353,0.38032298948553434,0.007669399483926087
beta[2],0.5337723700869798,0.39811183903590835,0.17999843535166704
lambda,0.05072206888118668,0.0025919730904277872,0.0
"sigma[1,1]",0.06080305927342256,0.004687082321006724,0.0
"sigma[2,1]",0.27588424437299036,0.011346861809829795,0.0
"sigma[3,1]",0.2461033634126333,0.012355941477297643,0.0
"sigma[4,1]",0.2716417910447761,0.0244276757287945,0.0
"sigma[5,1]",0.12,0.03958567737501564,0.0024342299318540483
"sigma[1,2]",0.02141491395793499,0.0028559688189976006,6.461498003318411e-14
"sigma[2,2]",0.17942122186495177,0.009746141631539142,0.0
"sigma[3,2]",0.4700574241181296,0.014312169598427536,0.0
"sigma[4,2]",0.5104477611940299,0.027436922567533994,0.0
"sigma[5,2]",0.7066666666666667,0.054514932184138214,0.0
