Row_Label,Estimate,SE,P_Value
alpha[1],-0.6195460073862158,0.009314681279579379,0.0
alpha[2],-0.074909517668591,0.009352258075253556,1.1102230246251565e-15
alpha[3],-0.036755860111924665,0.009357368904320203,8.565083299738596e-5
alpha[4],0.5856866583232414,0.009398217074059363,0.0
alpha[5],0.5089418237897817,0.009384430115115461,0.0
alpha[6],0.37201798959395355,0.009380087737708043,0.0
beta[1],1.5199454843102642,0.009432629149056846,0.0
beta[2],0.6722097922618679,0.009434416935440849,0.0
beta[3],0.9992433413784475,0.009434551985974671,0.0
beta[4],1.4235341005790842,0.009437174327740912,0.0
beta[5],-0.09977647421503491,0.009434514385687088,0.0
beta[6],-0.486800033468463,0.00943433075840406,0.0
lambda,0.059446235342995035,0.0018511260568446469,0.0
"sigma[1,1]",0.0436306973120374,0.0037211716571151,0.0
"sigma[2,1]",0.19794140934283452,0.0071910800215716835,0.0
"sigma[3,1]",0.17682468021068473,0.006948717881512254,0.0
"sigma[4,1]",0.13947990543735225,0.006676938997211439,0.0
"sigma[5,1]",0.10787172011661808,0.006629726284279065,0.0
"sigma[6,1]",0.06929510155316607,0.006305951667306324,0.0
"sigma[7,1]",0.07739307535641547,0.007255019996671679,0.0
"sigma[8,1]",0.08225108225108226,0.008150923660469085,0.0
"sigma[9,1]",0.04790419161676647,0.008032094190801883,2.4599007275583062e-9
"sigma[10,1]",0.009345794392523364,0.008955279999454094,0.29666717551592825
"sigma[1,2]",0.015582391897156213,0.0023941107789702825,7.583711436609519e-11
"sigma[2,2]",0.1290577988915281,0.006639974281512868,0.0
"sigma[3,2]",0.11211437170805116,0.006329396829433542,0.0
"sigma[4,2]",0.15839243498817968,0.006840817211485751,0.0
"sigma[5,2]",0.14382896015549076,0.006996044260602779,0.0
"sigma[6,2]",0.1087216248506571,0.00691164768545215,0.0
"sigma[7,2]",0.09775967413441955,0.007505702205505841,0.0
"sigma[8,2]",0.06493506493506493,0.007979121645086212,4.440892098500626e-16
"sigma[9,2]",0.03592814371257485,0.007828335865952763,4.4431001646749735e-6
"sigma[10,2]",0.009345794392523364,0.008955279999454094,0.29666717551592825
"sigma[1,3]",0.00506427736657577,0.0014408043848120717,0.0004399264671974823
"sigma[2,3]",0.04117181314330958,0.004823906226120128,0.0
"sigma[3,3]",0.08878856282919488,0.005975169070496902,0.0
"sigma[4,3]",0.0677698975571316,0.005605898551066979,0.0
"sigma[5,3]",0.061224489795918366,0.005794137732184054,0.0
"sigma[6,3]",0.08960573476702509,0.006664066890494129,0.0
"sigma[7,3]",0.0835030549898167,0.007339897586636827,0.0
"sigma[8,3]",0.03463203463203463,0.007410569798330139,2.9635570362174235e-6
"sigma[9,3]",0.059880239520958084,0.00817472949434867,2.389199948993337e-13
"sigma[10,3]",0.018691588785046728,0.008083442290250238,0.02075948644715675
"sigma[1,4]",0.0038955979742890533,0.00128366304520518,0.0024073418310799344
"sigma[2,4]",0.022169437846397466,0.0038405293683297015,7.810611046821236e-9
"sigma[3,4]",0.07750188111361926,0.00576023280121455,0.0
"sigma[4,4]",0.11268715524034673,0.006382915294570962,0.0
"sigma[5,4]",0.10301263362487852,0.006566913705278458,0.0
"sigma[6,4]",0.1135005973715651,0.006963936806707138,0.0
"sigma[7,4]",0.1955193482688391,0.00807214194841918,0.0
"sigma[8,4]",0.11255411255411256,0.008342141006138127,0.0
"sigma[9,4]",0.05389221556886228,0.00810927726334924,3.016809024813938e-11
"sigma[10,4]",0.028037383177570093,0.008168099631129485,0.0005979409644136791
"sigma[1,5]",0.0062329567588624854,0.0015812814915093704,8.090197054277937e-5
"sigma[2,5]",0.01741884402216944,0.0034907217095833426,6.036651665208836e-7
"sigma[3,5]",0.03912716328066215,0.004641258697558124,0.0
"sigma[4,5]",0.10717100078802207,0.006310538932127671,0.0
"sigma[5,5]",0.11467444120505345,0.0067113768244528495,0.0
"sigma[6,5]",0.08960573476702509,0.006664066890494129,0.0
"sigma[7,5]",0.15885947046843177,0.007929195800387418,0.0
"sigma[8,5]",0.19913419913419914,0.008594507044873995,0.0
"sigma[9,5]",0.30538922155688625,0.008767519493530827,0.0
"sigma[10,5]",0.009345794392523364,0.008955279999454094,0.29666717551592825
"sigma[1,6]",0.014413712504869497,0.0023117097243398033,4.515254836690019e-10
"sigma[2,6]",0.012668250197941409,0.003066927563354541,3.618180706554952e-5
"sigma[3,6]",0.0744920993227991,0.0056966977906447265,0.0
"sigma[4,6]",0.1024428684003152,0.006244521992991516,0.0
"sigma[5,6]",0.23323615160349853,0.0075034572410219574,0.0
"sigma[6,6]",0.35603345280764637,0.007966434722974999,0.0
"sigma[7,6]",0.2484725050916497,0.008211750064047566,0.0
"sigma[8,6]",0.39826839826839827,0.008776526785596775,0.0
"sigma[9,6]",0.4311377245508982,0.008819326692461013,0.0
"sigma[10,6]",0.897196261682243,0.008913707402221945,0.0
