Row_Label,Estimate,SE,P_Value
alpha[1],-0.5358812382034005,0.011712714161624409,0.0
alpha[2],2.659539457552562,0.011858687909000675,0.0
alpha[3],1.8230239818950356,0.011848679196848752,0.0
alpha[4],2.2233760977331607,0.011855437121341026,0.0
alpha[5],0.06736715091195293,0.011770669369101656,1.0447041676187041e-8
alpha[6],2.1941050853250577,0.01185388479747362,0.0
alpha[7],3.139799399493485,0.011855240703856226,0.0
alpha[8],1.240846497805409,0.011839941237892813,0.0
alpha[9],2.2488842110898744,0.011856260136207986,0.0
alpha[10],0.13176589660283372,0.011769602856485085,0.0
alpha[11],2.534746514511201,0.011857887561309571,0.0
alpha[12],0.7152111918412256,0.011816759424022688,0.0
alpha[13],3.0245723654979773,0.011860329543565746,0.0
alpha[14],0.697411631882783,0.01180639074296971,0.0
alpha[15],3.464873861967359,0.01185637671893025,0.0
alpha[16],3.1772099926168385,0.011859525176299325,0.0
alpha[17],2.6705288786141965,0.011857873968508114,0.0
alpha[18],3.5987267384184745,0.011861980830424593,0.0
alpha[19],0.3962311103970019,0.011791738687450015,0.0
alpha[20],3.8300182278071406,0.01186281009455814,0.0
alpha[21],2.581680086229625,0.011857063237871208,0.0
alpha[22],3.5739606527548315,0.01185953735150393,0.0
beta[1],0.8780969895900138,0.011856936149302546,0.0
beta[2],0.39431961416034855,0.011864208380912672,0.0
beta[3],-0.2855055431255997,0.011863394610102686,0.0
beta[4],0.47249106037414856,0.01186407752557224,0.0
beta[5],0.42623416446855716,0.011860198533174753,0.0
beta[6],7.989654456816595,0.011864421362212463,0.0
beta[7],-3.841208967753382,0.011863179728551068,0.0
beta[8],3.8628420047167045,0.011864161361792573,0.0
beta[9],3.258943561066302,0.01186434036346929,0.0
beta[10],-0.13270586761851,0.011858605016236461,0.0
beta[11],6.403949206439161,0.011864432161484981,0.0
beta[12],0.810169469712698,0.011862307816764095,0.0
beta[13],0.0006097746718695435,0.011864260331648885,0.9590100293316384
beta[14],-0.8803769118427769,0.01185974557208849,0.0
beta[15],-4.7435958537945,0.011863250995163891,0.0
beta[16],-2.024551343337186,0.011863991848774295,0.0
beta[17],-0.9667594972944631,0.011864009170894408,0.0
beta[18],-0.6083008522293227,0.01186431350101248,0.0
beta[19],-1.1587122906621696,0.011858925746876121,0.0
beta[20],2.8380469967363333,0.01186444345094348,0.0
beta[21],-1.1762490054428838,0.011863925345083794,0.0
beta[22],-3.78073995103197,0.01186382687869012,0.0
lambda,0.07239480307822799,0.0025967024404411425,0.0
"sigma[1,1]",0.03529411764705882,0.003456534449970046,0.0
"sigma[2,1]",0.013968253968253968,0.0029290525019760247,1.852673809921157e-6
"sigma[3,1]",0.003228410008071025,0.0018357372663384752,0.07863783911491762
"sigma[4,1]",0.008450704225352112,0.00529092914112423,0.11021977652807724
"sigma[5,1]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,2]",0.01935483870967742,0.002641876278378102,2.369215934550084e-13
"sigma[2,2]",0.01904761904761905,0.003354475878809047,1.360639934055996e-8
"sigma[3,2]",0.00645682001614205,0.0023781350140045002,0.006626033420275901
"sigma[4,2]",0.008450704225352112,0.00529092914112423,0.11021977652807724
"sigma[5,2]",0.010526315789473684,0.011655011659345243,0.36644210111120445
"sigma[1,3]",0.02049335863377609,0.002711587836141975,4.107825191113079e-14
"sigma[2,3]",0.01904761904761905,0.0033544758788090485,1.360639934055996e-8
"sigma[3,3]",0.013720742534301856,0.003263015880957326,2.6116680716947727e-5
"sigma[4,3]",0.005633802816901409,0.005049361752083523,0.2645310744382452
"sigma[5,3]",0.010526315789473684,0.011655011659345243,0.36644210111120445
"sigma[1,4]",0.05085388994307401,0.0040387163978858704,0.0
"sigma[2,4]",0.08888888888888889,0.00612759102154731,0.0
"sigma[3,4]",0.0516545601291364,0.005536934205941964,0.0
"sigma[4,4]",0.061971830985915494,0.008702474890680236,1.0700329511337259e-12
"sigma[5,4]",0.031578947368421054,0.010333382885443708,0.00224301897104362
"sigma[1,5]",0.009108159392789373,0.0018665516574822168,1.06262550758629e-6
"sigma[2,5]",0.022857142857142857,0.003628890816656217,3.002331716572826e-10
"sigma[3,5]",0.00645682001614205,0.0023781350140045,0.006626033420275901
"sigma[4,5]",0.005633802816901409,0.005049361752083523,0.2645310744382452
"sigma[5,5]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,6]",0.007969639468690701,0.0017550319121090658,5.598204591672484e-6
"sigma[2,6]",0.025396825396825397,0.0037955582342562703,2.2135404620371446e-11
"sigma[3,6]",0.014527845036319613,0.0033430108724458235,1.3880899570661853e-5
"sigma[4,6]",0.008450704225352112,0.00529092914112423,0.11021977652807724
"sigma[5,6]",0.021052631578947368,0.01019789446424724,0.03897889380662045
"sigma[1,7]",0.0056925996204933585,0.0015044954798539385,0.00015449751011398227
"sigma[2,7]",0.02603174603174603,0.003835459999094219,1.1439071911922838e-11
"sigma[3,7]",0.021791767554479417,0.003962150137001847,3.798228886964239e-8
"sigma[4,7]",0.008450704225352112,0.00529092914112423,0.11021977652807724
"sigma[5,7]",0.010526315789473684,0.01165501165934524,0.36644210111120445
"sigma[1,8]",0.0060721062618595825,0.0015493171574213183,8.883802729808821e-5
"sigma[2,8]",0.009523809523809525,0.002474836753437936,0.00011896089197982462
"sigma[3,8]",0.00645682001614205,0.0023781350140044985,0.006626033420275679
"sigma[4,8]",0.0028169014084507044,0.01135066956495101,0.804002485505398
"sigma[5,8]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,9]",0.03453510436432638,0.0034238951986021683,0.0
"sigma[2,9]",0.09714285714285714,0.006304680480426531,0.0
"sigma[3,9]",0.10250201775625505,0.006888572236628483,0.0
"sigma[4,9]",0.09859154929577464,0.009432264291993057,0.0
"sigma[5,9]",0.031578947368421054,0.010333382885443707,0.00224301897104362
"sigma[1,10]",0.004933586337760911,0.0014103017569026687,0.00046832413970432363
"sigma[2,10]",0.018412698412698412,0.003305430981225985,2.5409969905965113e-8
"sigma[3,10]",0.007263922518159807,0.0024958450567985303,0.003609594854362408
"sigma[4,10]",0.008450704225352112,0.00529092914112423,0.11021977652807724
"sigma[5,10]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,11]",0.009108159392789373,0.0018665516574822253,1.06262550758629e-6
"sigma[2,11]",0.04825396825396826,0.004926868419149934,0.0
"sigma[3,11]",0.042776432606941084,0.005170251770156878,2.220446049250313e-16
"sigma[4,11]",0.030985915492957747,0.007424193282853324,2.997703441520727e-5
"sigma[5,11]",0.042105263157894736,0.01051058067240232,6.175870714431042e-5
"sigma[1,12]",0.0022770398481973433,0.0010132084275513342,0.024617296641584074
"sigma[2,12]",0.010158730158730159,0.002546000809757639,6.60528456026821e-5
"sigma[3,12]",0.003228410008071025,0.0018357372663384774,0.07863783911491806
"sigma[4,12]",0.005633802816901409,0.005049361752083522,0.2645310744382452
"sigma[5,12]",0.021052631578947368,0.010197894464247242,0.038978893806620674
"sigma[1,13]",0.004554079696394687,0.0013606364270493598,0.0008168480513390808
"sigma[2,13]",0.08317460317460318,0.005994869432634093,0.0
"sigma[3,13]",0.07828894269572235,0.006361339051761079,0.0
"sigma[4,13]",0.10140845070422536,0.009471970577955069,0.0
"sigma[5,13]",0.031578947368421054,0.010333382885443708,0.00224301897104362
"sigma[1,14]",0.0011385199240986717,0.0008025214803170542,0.15599278478896328
"sigma[2,14]",0.009523809523809525,0.002474836753437941,0.00011896089197982462
"sigma[3,14]",0.00645682001614205,0.0023781350140044976,0.006626033420275679
"sigma[4,14]",0.02535211267605634,0.00704085544360673,0.0003173434821654997
"sigma[5,14]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,15]",0.0011385199240986717,0.0008025214803170618,0.15599278478896705
"sigma[2,15]",0.014603174603174604,0.002986822286865255,1.012460611571342e-6
"sigma[3,15]",0.009685230024213076,0.0028150793342951686,0.0005806788724085354
"sigma[4,15]",0.02535211267605634,0.007040855443606727,0.0003173434821654997
"sigma[5,15]",0.021052631578947368,0.010197894464247242,0.038978893806620674
"sigma[1,16]",0.0015180265654648956,0.0008731664999523811,0.08211738598165086
"sigma[2,16]",0.01650793650793651,0.0031517008119762904,1.625137515670616e-7
"sigma[3,16]",0.00887812752219532,0.0027137306145495325,0.0010695658864130486
"sigma[4,16]",0.030985915492957747,0.007424193282853322,2.997703441520727e-5
"sigma[5,16]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,17]",0.0007590132827324478,0.0007568889228955352,0.31595413572865616
"sigma[2,17]",0.0038095238095238095,0.0016820615081712686,0.023525287370963266
"sigma[3,17]",0.00887812752219532,0.0027137306145495446,0.0010695658864130486
"sigma[4,17]",0.022535211267605635,0.006818703624536353,0.0009500643210638149
"sigma[5,17]",0.042105263157894736,0.010510580672402322,6.175870714431042e-5
"sigma[1,18]",0.0060721062618595825,0.0015493171574213177,8.883802729808821e-5
"sigma[2,18]",0.06095238095238095,0.005377967228532772,0.0
"sigma[3,18]",0.08232445520581114,0.006460723191740944,0.0
"sigma[4,18]",0.10140845070422536,0.00947197057795507,0.0
"sigma[5,18]",0.07368421052631578,0.010868608418547544,1.2055467735194725e-11
"sigma[1,19]",0.0007590132827324478,0.0007568889228955253,0.31595413572864994
"sigma[2,19]",0.0038095238095238095,0.0016820615081712682,0.023525287370963044
"sigma[3,19]",0.00887812752219532,0.0027137306145495416,0.0010695658864130486
"sigma[4,19]",0.011267605633802818,0.005648033467948778,0.04604715023245376
"sigma[5,19]",0.010526315789473684,0.011655011659345241,0.36644210111120445
"sigma[1,20]",0.0018975332068311196,0.0009446262742770043,0.04456194835702876
"sigma[2,20]",0.0019047619047619048,0.0013361203847765434,0.15398628231499
"sigma[3,20]",0.01937046004842615,0.003773121582641186,2.8394644902007826e-7
"sigma[4,20]",0.0028169014084507044,0.011350669564951009,0.804002485505398
"sigma[5,20]",0.010526315789473684,0.011655011659345243,0.36644210111120445
"sigma[1,21]",0.0015180265654648956,0.0008731664999523707,0.0821173859816473
"sigma[2,21]",0.0019047619047619048,0.001336120384776543,0.1539862823149898
"sigma[3,21]",0.012106537530266344,0.003094236324819917,9.130422596648202e-5
"sigma[4,21]",0.014084507042253521,0.005988607970101294,0.018678634338888944
"sigma[5,21]",0.021052631578947368,0.01019789446424724,0.03897889380662045
"sigma[1,22]",0.010246679316888045,0.0019709899159694616,2.006356187855829e-7
"sigma[2,22]",0.07809523809523809,0.005869052608601994,0.0
"sigma[3,22]",0.31799838579499595,0.008726653338756349,0.0
"sigma[4,22]",0.29295774647887324,0.010568470879034658,0.0
"sigma[5,22]",0.4421052631578947,0.011492630578793657,0.0
