Row_Label,Estimate,SE,P_Value
alpha[1],-0.6116561687086828,0.09431631105496333,8.863887401844295e-11
alpha[2],1.3474511077682758,0.1826312150459798,1.6076029396572267e-13
alpha[3],0.02859275653943559,0.10847449319279452,0.792096114450636
alpha[4],0.6751961001649789,0.13628583842915473,7.260436512002144e-7
alpha[5],0.06584312589356282,0.11074267785679695,0.5521378699318444
alpha[6],0.6949198005851286,0.13543385945629977,2.8810892160890944e-7
alpha[7],0.5215467717261395,0.13327807940919328,9.10725677454316e-5
alpha[8],1.4986498991915602,0.19675320803919563,2.5979218776228663e-14
alpha[9],0.4409233533341212,0.12964134419709644,0.0006711493495377141
alpha[10],2.25534069991752,0.2950296515301255,2.1094237467877974e-14
beta[1],1.51772654755471,0.38897445385869495,9.545364128005218e-5
beta[2],-0.10408076593149004,0.6993608407601534,0.8816935411032643
beta[3],0.6821973642666485,0.4518024622211688,0.1310571790463757
beta[4],1.2213078811273128,0.6007593848053926,0.042058568805037666
beta[5],0.831026621073044,0.4472980042746636,0.06318586505979984
beta[6],1.3452155662837162,0.6051933971493663,0.026230216193009914
beta[7],-0.3404032879158948,0.4773037282634888,0.47573462040483117
beta[8],-0.1251082131649604,0.6861413954226805,0.8553191218344725
beta[9],-0.8313696645403374,0.4579943610191579,0.06948704158841346
beta[10],-1.4532200174964405,0.9515415210991857,0.12670454460056657
lambda,0.06550931912080453,0.0020020224748736044,0.0
"sigma[1,1]",0.04572772406584792,0.003386197782894791,0.0
"sigma[2,1]",0.046628131021194605,0.004155714952568128,0.0
"sigma[3,1]",0.028985507246376812,0.003922587759039057,1.474376176702208e-13
"sigma[4,1]",0.015299026425591099,0.004797733339989116,0.0014286320506806671
"sigma[5,1]",0.0036900369003690036,0.06191144684267063,0.9524727432005187
"sigma[1,2]",0.06715442905670238,0.00405363826736677,0.0
"sigma[2,2]",0.11753371868978806,0.006332911995267549,0.0
"sigma[3,2]",0.06280193236714976,0.005644445522358955,0.0
"sigma[4,2]",0.06536856745479833,0.009315823666019539,2.2677415500993447e-12
"sigma[5,2]",0.02214022140221402,0.009901408018449255,0.0253473186774682
"sigma[1,3]",0.025346224196498564,0.0025536473347705156,0.0
"sigma[2,3]",0.0651252408477842,0.00485787486692323,0.0
"sigma[3,3]",0.041331186258722494,0.0046412869855057045,0.0
"sigma[4,3]",0.022253129346314324,0.00567820410535609,8.89010406774915e-5
"sigma[5,3]",0.01107011070110701,0.007827750345238535,0.15729920705028522
"sigma[1,4]",0.04180820486020381,0.0032453223525350685,0.0
"sigma[2,4]",0.10751445086705202,0.0060920434563834485,0.0
"sigma[3,4]",0.10574342458400429,0.00714296348972443,0.0
"sigma[4,4]",0.07649513212795549,0.010002491085559888,2.042810365310288e-14
"sigma[5,4]",0.02214022140221402,0.009901408018449255,0.0253473186774682
"sigma[1,5]",0.010452051215050953,0.001664699314434781,3.4154279404674526e-10
"sigma[2,5]",0.05433526011560694,0.004465302042895182,0.0
"sigma[3,5]",0.05850778314546431,0.005462179104488283,0.0
"sigma[4,5]",0.05006954102920723,0.008245963669271345,1.2632219714703297e-9
"sigma[5,5]",0.03690036900369004,0.012300123001230016,0.002699796063260207
"sigma[1,6]",0.009668147373922133,0.0016033559526747818,1.6401602298543594e-9
"sigma[2,6]",0.08246628131021194,0.0054123975473809914,0.0
"sigma[3,6]",0.09608158883521202,0.0068470382077474,0.0
"sigma[4,6]",0.11543810848400557,0.011992414235012216,0.0
"sigma[5,6]",0.02952029520295203,0.011157622819460582,0.008150971593502643
"sigma[1,7]",0.004180820486020381,0.0010770806658501574,0.00010376188558436361
"sigma[2,7]",0.036223506743737956,0.003687097536655646,0.0
"sigma[3,7]",0.031132581857219538,0.0040581636611546875,1.709743457922741e-14
"sigma[4,7]",0.10013908205841446,0.011274639554810865,0.0
"sigma[5,7]",0.025830258302583026,0.010545158794269526,0.014305878435429742
"sigma[1,8]",0.007055134570159394,0.0013785629232425072,3.09209002180566e-7
"sigma[2,8]",0.054720616570327556,0.004480086475211272,0.0
"sigma[3,8]",0.08319914117015566,0.006419269864603854,0.0
"sigma[4,8]",0.12239221140472879,0.012296241518610923,0.0
"sigma[5,8]",0.15498154981549817,0.024204051658012714,1.5222911819989804e-10
"sigma[1,9]",0.0018291089626339169,0.0007459357980612991,0.014202529603966063
"sigma[2,9]",0.006165703275529865,0.0015867565018423753,0.00010202392468805499
"sigma[3,9]",0.023617820719269995,0.0035581578726780936,3.1871394412519294e-11
"sigma[4,9]",0.02364394993045897,0.0058374369189212886,5.113032750858615e-5
"sigma[5,9]",0.05904059040590406,0.015244214892821321,0.00010751117672946897
"sigma[1,10]",0.012542461458061144,0.0018177858455527243,5.205613717862434e-12
"sigma[2,10]",0.08477842003853564,0.005480507580101289,0.0
"sigma[3,10]",0.2726784755770263,0.010335535023590343,0.0
"sigma[4,10]",0.2865090403337969,0.016939095823494447,0.0
"sigma[5,10]",0.5867158671586716,0.04667660818595797,0.0
