k,mlp,gbt
2,0.7857142857142857,0.8035714285714286
3,0.7142857142857143,0.6696428571428571
4,0.5982142857142857,0.6309523809523809
5,0.5684523809523809,0.5773809523809523
6,0.4107142857142857,0.5625
7,0.5267857142857143,0.5654761904761905
8,0.41964285714285715,0.5595238095238095
9,0.4880952380952381,0.4880952380952381
10,0.43154761904761907,0.4494047619047619
11,0.34226190476190477,0.4851190476190476
