Row_Label,Estimate,SE,P_Value
alpha[1],-0.48911829246078686,0.05123296950300673,0.0
alpha[2],1.4448026306879103,0.10020922176878266,0.0
alpha[3],1.7444660385548687,0.11702696821784936,0.0
alpha[4],1.771780209951208,0.11767043272451676,0.0
alpha[5],0.430706526133446,0.06792823802117616,2.2885582318110664e-10
alpha[6],1.3940488310132986,0.10051492936191035,0.0
alpha[7],1.6161759559215383,0.1081210389765037,0.0
alpha[8],2.4298895701171137,0.15730416400233463,0.0
alpha[9],0.5008330367447449,0.0703656854767281,1.0984546605641299e-12
alpha[10],2.198392510998435,0.14194710634281246,0.0
alpha[11],1.0778305319566628,0.0845170262467769,0.0
alpha[12],2.885548496154824,0.1985033459481376,0.0
alpha[13],0.8878390799358535,0.08239857380122777,0.0
alpha[14],3.109548786154232,0.23413858343350588,0.0
alpha[15],2.8262135534148842,0.20252666062781802,0.0
alpha[16],2.1510885544766873,0.14398943816685653,0.0
alpha[17],0.7391673338166553,0.07779647109564566,0.0
alpha[18],3.244806682758931,0.23770275088194193,0.0
alpha[19],2.6923377120164718,0.18355906965827457,0.0
alpha[20],3.1731748873162107,0.23762600440859655,0.0
beta[1],0.416367253690952,0.2034901951250663,0.040743649414348715
beta[2],1.3804901090004789,0.5458222304933829,0.0114324935924075
beta[3],-0.6437721126210594,0.44335390978438177,0.14648766050010265
beta[4],-0.43724041686279425,0.45552032031914863,0.3371205062117659
beta[5],-0.9369370419720693,0.25340097392867517,0.0002177774128917509
beta[6],-1.2056765574844537,0.3687195767150031,0.0010758508348200913
beta[7],0.21196372634714472,0.494716611310448,0.668320005930342
beta[8],0.9615231078892823,0.8239381770316724,0.24321661621534263
beta[9],-1.3481235000546363,0.2455385766186552,4.0085345709428566e-8
beta[10],0.8748015294407723,0.7300819429256609,0.23082991857791368
beta[11],-0.48142742204266925,0.3446574680373588,0.1624651078908106
beta[12],0.21305868465696565,0.9198698240428536,0.8168344928216251
beta[13],-1.6612877544029652,0.27968738122087955,2.8536597529438268e-9
beta[14],-3.0369083823364944,0.6978649724515709,1.3507773308996107e-5
beta[15],-2.6781675606262834,0.6268300734733793,1.932436603180321e-5
beta[16],-1.5593284882155571,0.49116080327676065,0.001499490972384665
beta[17],-1.3748991933573147,0.27751619385406395,7.259017631433551e-7
beta[18],0.05491199885049669,1.071570290172305,0.959130755652861
beta[19],-0.3905926854554467,0.7699676729276588,0.6119551948540678
beta[20],-2.0220962672465643,0.7906839055729328,0.010545739614589378
lambda,0.0731619717942143,0.0015631949688855486,0.0
