Row_Label,Estimate,SE,P_Value
alpha[1],-0.4259663008478538,0.0939670552349318,5.8111852112574525e-6
alpha[2],0.08981543400256908,0.1047711636212095,0.3913048680629021
alpha[3],0.7782294604240815,0.13828872926784436,1.8276633761971084e-8
beta[1],0.9822704445176786,0.39756139236568944,0.013483417967662614
beta[2],0.4815445188895938,0.43685391475002555,0.27033082302580724
beta[3],-0.3871606007281609,0.5011339709665901,0.43977746141736196
lambda,0.056916413674373126,0.00265064219818584,0.0
"sigma[1,1]",0.016611295681063124,0.0030580844680586326,5.5748311744707735e-8
"sigma[2,1]",0.17444717444717445,0.013345457354801173,0.0
"sigma[3,1]",0.20276497695852536,0.013683844277345134,0.0
"sigma[4,1]",0.2138728323699422,0.01563815380322341,0.0
"sigma[5,1]",0.19688385269121814,0.015016830654871464,0.0
"sigma[6,1]",0.16988416988416988,0.016588214681912353,0.0
"sigma[7,1]",0.15517241379310345,0.024084264462863113,1.1721490444926985e-10
"sigma[8,1]",0.1111111111111111,0.03148687431198287,0.00041743701645868825
"sigma[9,1]",0.1,0.04215502804904416,0.017682695138858673
"sigma[10,1]",0.05,0.2427803692482316,0.8368319535127267
"sigma[1,2]",0.003875968992248062,0.0015787843659527288,0.01408713395968042
"sigma[2,2]",0.02702702702702703,0.005814111714619228,3.3432174202374654e-6
"sigma[3,2]",0.1347926267281106,0.011637594340209508,0.0
"sigma[4,2]",0.16907514450867053,0.014305678811156342,0.0
"sigma[5,2]",0.10198300283286119,0.011463979589735962,0.0
"sigma[6,2]",0.13127413127413126,0.014940013424098512,0.0
"sigma[7,2]",0.22844827586206898,0.027820475606100733,2.220446049250313e-16
"sigma[8,2]",0.1388888888888889,0.034359238860728794,5.29390640866545e-5
"sigma[9,2]",0.08333333333333333,0.03959938139651194,0.03534269977749904
"sigma[10,2]",0.1,0.10000000000000002,0.31731050786291415
"sigma[1,3]",0.017718715393133997,0.0031532063443948954,1.91766826862505e-8
"sigma[2,3]",0.02457002457002457,0.005563751478590028,1.0050247830628578e-5
"sigma[3,3]",0.09331797235023041,0.00993054111046088,0.0
"sigma[4,3]",0.21965317919075145,0.015788611023784604,0.0
"sigma[5,3]",0.4164305949008499,0.018599804249253418,0.0
"sigma[6,3]",0.5,0.022054076939260918,0.0
"sigma[7,3]",0.40086206896551724,0.03242057797053935,0.0
"sigma[8,3]",0.5648148148148148,0.04877411615178174,0.0
"sigma[9,3]",0.65,0.06502368405348612,0.0
"sigma[10,3]",0.7,0.19414506867883013,0.00031149097676741455
